"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00417588","RICHARDSON, TX US","2020-11-12","0.00","79","51"
"USC00417588","RICHARDSON, TX US","2020-11-13","0.00","74","54"
"USC00417588","RICHARDSON, TX US","2020-11-14","0.00","82","62"
"USC00417588","RICHARDSON, TX US","2020-11-15","0.00","74","41"
"USC00417588","RICHARDSON, TX US","2020-11-16","0.00","71","38"
"USC00417588","RICHARDSON, TX US","2020-11-17","0.00","76","39"
"USC00417588","RICHARDSON, TX US","2020-11-18","0.00","73","55"
"USC00417588","RICHARDSON, TX US","2020-11-19","0.00","75","53"
"USC00417588","RICHARDSON, TX US","2020-11-20","0.00","73","59"
"USC00417588","RICHARDSON, TX US","2020-11-21","0.00","75","59"
"USC00417588","RICHARDSON, TX US","2020-11-22","0.00","60","46"
"USC00417588","RICHARDSON, TX US","2020-11-23","0.00","60","43"
"USC00417588","RICHARDSON, TX US","2020-11-24","0.60","69","51"
"USC00417588","RICHARDSON, TX US","2020-11-25","0.00","63","42"
"USC00417588","RICHARDSON, TX US","2020-11-26","0.00","71","39"
"USC00417588","RICHARDSON, TX US","2020-11-27","0.00","63","52"
"USC00417588","RICHARDSON, TX US","2020-11-28","0.30","60","44"
"USC00417588","RICHARDSON, TX US","2020-11-29","0.20","51","42"
"USC00417588","RICHARDSON, TX US","2020-11-30","0.00","50","31"
"USC00417588","RICHARDSON, TX US","2020-12-01","0.00","67","29"
"USC00417588","RICHARDSON, TX US","2020-12-02","0.15","55","39"
"USC00417588","RICHARDSON, TX US","2020-12-03","0.00","45","36"
"USC00417588","RICHARDSON, TX US","2020-12-04","0.00","56","32"
"USC00417588","RICHARDSON, TX US","2020-12-05","0.00","61","33"
"USC00417588","RICHARDSON, TX US","2020-12-06","0.00","60","44"
"USC00417588","RICHARDSON, TX US","2020-12-07","0.03","62","38"
"USC00417588","RICHARDSON, TX US","2020-12-08","0.00","70","43"
"USC00417588","RICHARDSON, TX US","2020-12-09","0.00","77","38"
"USC00417588","RICHARDSON, TX US","2020-12-10","0.00","77","42"
"USC00417588","RICHARDSON, TX US","2020-12-11","0.20","62","38"
"USC00417588","RICHARDSON, TX US","2020-12-12","0.00","53","38"
"USC00417588","RICHARDSON, TX US","2020-12-13","0.19","42","36"
"USC00417588","RICHARDSON, TX US","2020-12-14","0.00","50","31"
"USC00417588","RICHARDSON, TX US","2020-12-15","0.02","41","32"
"USC00417588","RICHARDSON, TX US","2020-12-16","0.00","42","29"
"USC00417588","RICHARDSON, TX US","2020-12-17","0.01","59","27"
"USC00417588","RICHARDSON, TX US","2020-12-18","0.00","60","27"
"USC00417588","RICHARDSON, TX US","2020-12-19","0.01","58","33"
"USC00417588","RICHARDSON, TX US","2020-12-20","0.00","63","34"
"USC00417588","RICHARDSON, TX US","2020-12-21","0.00","71","36"
"USC00417588","RICHARDSON, TX US","2020-12-22","0.00","70","41"
"USC00417588","RICHARDSON, TX US","2020-12-23","0.00","69","35"
"USC00417588","RICHARDSON, TX US","2020-12-24","0.00","52","29"
"USC00417588","RICHARDSON, TX US","2020-12-25","0.00","58","29"
"USC00417588","RICHARDSON, TX US","2020-12-26","0.00","68","38"
"USC00417588","RICHARDSON, TX US","2020-12-27","0.00","72","49"
"USC00417588","RICHARDSON, TX US","2020-12-28","0.02","72","46"
"USC00417588","RICHARDSON, TX US","2020-12-29","0.01","68","52"
"USC00417588","RICHARDSON, TX US","2020-12-30","0.36","60","36"
"USC00417588","RICHARDSON, TX US","2020-12-31","2.10","39","36"
"USC00417588","RICHARDSON, TX US","2021-01-01","0.01","39","34"
"USC00417588","RICHARDSON, TX US","2021-01-02","0.00","53","34"
"USC00417588","RICHARDSON, TX US","2021-01-03","0.00","64","34"
"USC00417588","RICHARDSON, TX US","2021-01-04","0.02","67","35"
"USC00417588","RICHARDSON, TX US","2021-01-05","0.00","65","35"
"USC00417588","RICHARDSON, TX US","2021-01-06","0.01","65","35"
"USC00417588","RICHARDSON, TX US","2021-01-07","0.02","49","42"
"USC00417588","RICHARDSON, TX US","2021-01-08","0.00","50","34"
"USC00417588","RICHARDSON, TX US","2021-01-09","0.00","48","27"
"USC00417588","RICHARDSON, TX US","2021-01-10","0.11","38","32"
"USC00417588","RICHARDSON, TX US","2021-01-11","0.00","47","30"
"USC00417588","RICHARDSON, TX US","2021-01-12","0.01","52","28"
"USC00417588","RICHARDSON, TX US","2021-01-13","0.00","62","28"
"USC00417588","RICHARDSON, TX US","2021-01-14","0.00","63","28"
"USC00417588","RICHARDSON, TX US","2021-01-15","0.00","63","28"
"USC00417588","RICHARDSON, TX US","2021-01-16","0.00","55","33"
"USC00417588","RICHARDSON, TX US","2021-01-17","0.00","58","37"
"USC00417588","RICHARDSON, TX US","2021-01-18","0.00","67","35"
"USC00417588","RICHARDSON, TX US","2021-01-19","0.09","59","48"
"USC00417588","RICHARDSON, TX US","2021-01-20","0.44","49","43"
"USC00417588","RICHARDSON, TX US","2021-01-21","0.05","52","45"
"USC00417588","RICHARDSON, TX US","2021-01-22","0.00","51","46"
"USC00417588","RICHARDSON, TX US","2021-01-23","0.10","51","45"
"USC00417588","RICHARDSON, TX US","2021-01-24","0.53","60","50"
"USC00417588","RICHARDSON, TX US","2021-01-25","0.19","66","47"
"USC00417588","RICHARDSON, TX US","2021-01-26","0.00","57","36"
"USC00417588","RICHARDSON, TX US","2021-01-27","0.01","49","34"
"USC00417588","RICHARDSON, TX US","2021-01-28","0.00","49","28"
"USC00417588","RICHARDSON, TX US","2021-01-29","0.00","60","37"
